2012-01-01	10112
2012-01-02	11220
2012-01-03	14465
2012-01-04	14576
2012-01-05	16360
2012-01-06	12565
2012-01-07	10335
2012-01-08	13060
2012-01-09	16313
2012-01-10	14777
2012-01-11	16955
2012-01-12	18250
2012-01-13	14904
2012-01-14	10183
2012-01-15	14142
2012-01-16	16572
2012-01-17	68244
2012-01-18	13941
2012-01-19	11021
2012-01-20	9598
2012-01-21	8451
2012-01-22	10659
2012-01-23	10552
2012-01-24	12582
2012-01-25	12543
2012-01-26	10661
2012-01-27	10070
2012-01-28	8267
2012-01-29	6891
2012-01-30	11161
2012-01-31	9785
2012-02-01	14395
2012-02-02	10578
2012-02-03	10433
2012-02-04	46146
2012-02-05	8949
2012-02-06	11104
2012-02-07	11732
2012-02-08	10797
2012-02-09	12428
2012-02-10	9183
2012-02-11	6724
2012-02-12	7713
2012-02-13	11390
2012-02-14	10126
2012-02-15	10452
2012-02-16	11451
2012-02-17	9026
2012-02-18	8036
2012-02-19	8794
2012-02-20	17430
2012-02-21	14437
2012-02-22	9656
2012-02-23	10006
2012-02-24	11794
2012-02-25	8184
2012-02-26	9107
2012-02-27	13104
2012-02-28	12268
2012-02-29	11740
2012-03-01	13321
2012-03-02	15155
2012-03-03	7645
2012-03-04	10202
2012-03-05	9702
2012-03-06	12909
2012-03-07	15130
2012-03-08	12148
2012-03-09	8913
2012-03-10	8049
2012-03-11	7565
2012-03-12	9624
2012-03-13	9176
2012-03-14	10012
2012-03-15	15215
2012-03-16	18312
2012-03-17	16192
2012-03-18	26810
2012-03-19	21908
2012-03-20	16112
2012-03-21	57915
2012-03-22	16675
2012-03-23	22173
2012-03-24	7879
2012-03-25	8191
2012-03-26	10108
2012-03-27	10521
2012-03-28	11818
2012-03-29	10489
2012-03-30	9181
2012-03-31	8317
2012-04-01	7632
2012-04-02	11009
2012-04-03	12749
2012-04-04	10050
2012-04-05	8416
2012-04-06	7949
2012-04-07	6958
2012-04-08	7366
2012-04-09	9595
2012-04-10	13540
2012-04-11	11086
2012-04-12	10861
2012-04-13	9075
2012-04-14	8631
2012-04-15	8124
2012-04-16	10894
2012-04-17	11691
2012-04-18	11006
2012-04-19	10300
2012-04-20	8892
2012-04-21	9168
2012-04-22	11292
2012-04-23	10773
2012-04-24	13038
2012-04-25	10990
2012-04-26	10600
2012-04-27	10052
2012-04-28	7755
2012-04-29	8202
2012-04-30	9481
2012-05-01	9924
2012-05-02	10688
2012-05-03	12645
2012-05-04	9278
2012-05-05	9158
2012-05-06	11494
2012-05-07	10781
2012-05-08	10900
2012-05-09	10239
2012-05-10	10150
2012-05-11	28756
2012-05-12	8486
2012-05-13	9770
2012-05-14	10886
2012-05-15	15069
2012-05-16	13234
2012-05-17	10653
2012-05-18	9330
2012-05-19	8976
2012-05-20	11173
2012-05-21	10960
2012-05-22	10255
2012-05-23	11962
2012-05-24	12472
2012-05-25	10705
2012-05-26	7948
2012-05-27	9357
2012-05-28	9345
2012-05-29	11659
2012-05-30	12730
2012-05-31	11430
2012-06-01	9240
2012-06-02	11146
2012-06-03	10742
2012-06-04	11627
2012-06-05	13359
2012-06-06	10897
2012-06-07	16027
2012-06-08	11920
2012-06-09	9808
2012-06-10	12020
2012-06-11	12511
2012-06-12	10641
2012-06-13	12003
2012-06-14	24511
2012-06-15	21985
2012-06-16	15463
2012-06-17	10069
2012-06-18	12080
2012-06-19	10183
2012-06-20	9762
2012-06-21	12523
2012-06-22	19522
2012-06-23	7204
2012-06-24	9698
2012-06-25	12457
2012-06-26	9144
2012-06-27	9281
2012-06-28	9983
2012-06-29	10136
2012-06-30	8125
2012-07-01	10591
2012-07-02	12828
2012-07-03	10803
2012-07-04	9871
2012-07-05	10128
2012-07-06	8506
2012-07-07	7555
2012-07-08	9153
2012-07-09	12844
2012-07-10	10746
2012-07-11	9480
2012-07-12	10503
2012-07-13	9153
2012-07-14	9970
2012-07-15	9522
2012-07-16	11973
2012-07-17	10121
2012-07-18	8946
2012-07-19	9877
2012-07-20	12795
2012-07-21	10402
2012-07-22	9396
2012-07-23	17136
2012-07-24	10817
2012-07-25	11256
2012-07-26	11685
2012-07-27	14129
2012-07-28	14487
2012-07-29	10191
2012-07-30	11953
2012-07-31	13200
2012-08-01	11828
2012-08-02	11620
2012-08-03	9344
2012-08-04	8851
2012-08-05	11858
2012-08-06	13274
2012-08-07	14032
2012-08-08	12308
2012-08-09	10788
2012-08-10	10739
2012-08-11	8328
2012-08-12	9525
2012-08-13	9974
2012-08-14	9808
2012-08-15	10214
2012-08-16	9417
2012-08-17	54519
2012-08-18	7766
2012-08-19	10271
2012-08-20	9607
2012-08-21	10033
2012-08-22	8049
2012-08-23	8211
2012-08-24	8484
2012-08-25	7354
2012-08-26	9722
2012-08-27	10964
2012-08-28	11684
2012-08-29	44911
2012-08-30	49837
2012-08-31	20983
2012-09-01	8268
2012-09-02	8310
2012-09-03	8645
2012-09-04	10758
2012-09-05	9363
2012-09-06	9201
2012-09-07	10179
2012-09-08	8114
2012-09-09	8426
2012-09-10	9504
2012-09-11	8387
2012-09-12	11034
2012-09-13	18107
2012-09-14	9274
2012-09-15	8323
2012-09-16	9009
2012-09-17	9631
2012-09-18	11075
2012-09-19	10825
2012-09-20	11282
2012-09-21	10501
2012-09-22	8799
2012-09-23	10359
2012-09-24	11801
2012-09-25	11602
2012-09-26	10755
2012-09-27	10259
2012-09-28	9717
2012-09-29	9291
2012-09-30	9083
2012-10-01	12391
2012-10-02	10806
2012-10-03	12641
2012-10-04	11649
2012-10-05	11453
2012-10-06	9299
2012-10-07	11232
2012-10-08	13468
2012-10-09	11368
2012-10-10	11568
2012-10-11	11670
2012-10-12	13463
2012-10-13	10513
2012-10-14	11772
2012-10-15	11463
2012-10-16	12332
2012-10-17	12072
2012-10-18	10810
2012-10-19	9334
2012-10-20	8158
2012-10-21	11210
2012-10-22	10832
2012-10-23	38216
2012-10-24	11906
2012-10-25	9629
2012-10-26	23983
2012-10-27	10295
2012-10-28	16031
2012-10-29	13888
2012-10-30	11298
2012-10-31	11551
2012-11-01	11493
2012-11-02	11728
2012-11-03	9380
2012-11-04	12372
2012-11-05	13554
2012-11-06	11593
2012-11-07	15499
2012-11-08	15931
2012-11-09	11820
2012-11-10	8554
2012-11-11	10401
2012-11-12	9394
2012-11-13	9147
2012-11-14	9978
2012-11-15	9889
2012-11-16	8741
2012-11-17	8523
2012-11-18	13897
2012-11-19	17309
2012-11-20	11235
2012-11-21	9529
2012-11-22	10114
2012-11-23	10069
2012-11-24	8177
2012-11-25	10843
2012-11-26	11217
2012-11-27	15250
2012-11-28	9442
2012-11-29	9674
2012-11-30	12419
2012-12-01	7880
2012-12-02	8720
2012-12-03	10663
2012-12-04	14629
2012-12-05	16220
2012-12-06	12153
2012-12-07	12555
2012-12-08	10699
2012-12-09	10321
2012-12-10	16290
2012-12-11	10933
2012-12-12	14694
2012-12-13	12550
2012-12-14	14384
2012-12-15	10351
2012-12-16	12670
2012-12-17	10450
2012-12-18	14614
2012-12-19	13439
2012-12-20	21866
2012-12-21	13718
2012-12-22	8222
2012-12-23	18939
2012-12-24	9682
2012-12-25	8187
2012-12-26	9899
2012-12-27	8750
2012-12-28	9262
2012-12-29	26480
2012-12-30	13938
2012-12-31	12671
